animal_id,session_id,source_session_name,release_session_name,mapping_source,mapping_confidence,locally_available,already_audited,compressed_size_bytes,compressed_size_if_known,notes
BWRat17,BWRat17_121712,BWRat17_121712,BWRat17_121712,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A4:L4; filelist.txt,confirmed,true,true,936177071,892.8 MB,Exact source/release basename match; ACC
BWRat17,BWRat17_121912,BWRat17_121912,BWRat17_121912,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A5:L5; filelist.txt,confirmed,false,false,1017906622,970.7 MB,Exact source/release basename match; ACC
BWRat18,BWRat18_020513,BWRat18_020513,BWRat18_020513,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A8:L8; filelist.txt,confirmed,true,true,2006606460,1.8 GB,Exact source/release basename match; M2
BWRat19,BWRat19_032413,BWRat19_032413,BWRat19_032413,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A11:L11; filelist.txt,confirmed,false,false,1483514715,1.3 GB,Exact source/release basename match; M2
BWRat19,BWRat19_032513,BWRat19_032513,BWRat19_032513,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A12:L12; filelist.txt,confirmed,true,true,1167555469,1.0 GB,Exact source/release basename match; M2
BWRat20,BWRat20_101013,BWRat20_101013,BWRat20_101013,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A15:L15; filelist.txt,confirmed,true,true,1921907255,1.7 GB,Exact source/release basename match; ACC
BWRat20,BWRat20_101513,BWRat20_101513,BWRat20_101513,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A16:L16; filelist.txt,confirmed,false,false,3787800074,3.5 GB,Exact source/release basename match; ACC; ketamine noted between epochs 03 and 04
BWRat21,BWRat21_121113,BWRat21_121113,BWRat21_121113,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A19:L19; filelist.txt,confirmed,false,false,2745058218,2.5 GB,Exact source/release basename match; mPFC; table notes instability after about 22000 s
BWRat21,BWRat21_121613,BWRat21_121613,BWRat21_121613,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A20:L20; filelist.txt,confirmed,false,false,2629442277,2.4 GB,Exact source/release basename match; mPFC; ketamine session
BWRat21,BWRat21_121813,BWRat21_121813,BWRat21_121813,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A21:L21; filelist.txt,confirmed,false,false,2640178867,2.4 GB,Exact source/release basename match; mPFC; saline session
