session_id,animal_id,local_path,availability,processing_status,mapping_source,mapping_confidence,downloaded,extracted,preflight_passed,audited,qc_status
20140526_277um,JennBuzsaki22,F:\CfC-Sleep\crcns-downloader\fcx-1\data\20140526_277um,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A34:L34,confirmed,True,True,True,True,WARN
20140527_421um,JennBuzsaki22,F:\CfC-Sleep\crcns-downloader\fcx-1\data\20140527_421um,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A35:L35,confirmed,True,True,True,True,WARN
20140528_565um,JennBuzsaki22,F:\CfC-Sleep\crcns-downloader\fcx-1\data\20140528_565um,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A36:L36,confirmed,True,True,True,True,WARN
Bogey_012615,Bogey,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Bogey_012615,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A39:L39,confirmed,True,True,True,True,WARN
BWRat17_121712,BWRat17,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat17_121712,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A4:L4,confirmed,True,True,True,True,WARN
BWRat17_121912,BWRat17,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat17_121912,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A5:L5,confirmed,True,True,True,True,WARN
BWRat18_020513,BWRat18,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat18_020513,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A8:L8,confirmed,True,True,True,True,WARN
BWRat19_032413,BWRat19,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat19_032413,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A11:L11,confirmed,True,True,True,True,WARN
BWRat19_032513,BWRat19,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat19_032513,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A12:L12,confirmed,True,True,True,True,WARN
BWRat20_101013,BWRat20,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat20_101013,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A15:L15,confirmed,True,True,True,True,WARN
BWRat20_101513,BWRat20,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat20_101513,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A16:L16,confirmed,True,True,True,True,WARN
BWRat21_121113,BWRat21,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat21_121113,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A19:L19,confirmed,True,True,True,True,WARN
BWRat21_121613,BWRat21,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat21_121613,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A20:L20,confirmed,True,True,True,True,WARN
BWRat21_121813,BWRat21,F:\CfC-Sleep\crcns-downloader\fcx-1\data\BWRat21_121813,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A21:L21,confirmed,True,True,True,True,WARN
Dino_061814_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_061814_mPFC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A24:L24,confirmed,True,True,True,True,WARN
Dino_061914_ACC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_061914_ACC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A25:L25,confirmed,True,True,True,True,WARN
Dino_061914_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_061914_mPFC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A26:L26,confirmed,True,True,True,True,WARN
Dino_062014_ACC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_062014_ACC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A27:L27,confirmed,True,True,True,True,WARN
Dino_062014_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_062014_mPFC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A28:L28,confirmed,True,True,True,True,WARN
Dino_072114_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_072114_mPFC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A29:L29,confirmed,True,True,True,True,WARN
Dino_072314_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_072314_mPFC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A30:L30,confirmed,True,True,True,True,WARN
Dino_072414_mPFC,Dino,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Dino_072414_mPFC,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A31:L31,confirmed,True,True,True,True,WARN
Rizzo_022615,Rizzo,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Rizzo_022615,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A46:L46,confirmed,True,True,True,True,WARN
Rizzo_022715,Rizzo,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Rizzo_022715,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A47:L47,confirmed,True,True,True,True,WARN
Splinter_020515,Splinter,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Splinter_020515,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A42:L42,confirmed,True,True,True,True,WARN
Splinter_020915,Splinter,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Splinter_020915,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A43:L43,confirmed,True,True,True,True,WARN
Templeton_032415,Templeton,F:\CfC-Sleep\crcns-downloader\fcx-1\data\Templeton_032415,True,audited,WatsonSleepHomestasis2016Table.xlsx:SleepOverview!A50:L50,confirmed,True,True,True,True,WARN
