animal_id,session_count,session_id,qc_status,common_pipeline_valid,effective_recording_duration_s,stable_unit_count,total_stable_spikes,wake_seconds,nrem_seconds,rem_seconds,ignore_seconds,wake_fraction,nrem_fraction,rem_fraction,ignore_fraction,valid_supervision_fraction,missing_core_classes,recommended_lfp_channel,recommended_lfp_anatomy,recommended_theta_channel,recommended_theta_anatomy,duration_mismatch,support_pattern,core_target_oob_count,auxiliary_oob_count,conflict_seconds,structural_issue
BWRat17,1,BWRat17_121712,WARN,True,6059.4,50,345203,2426,952,103,2578,0.40039610496781647,0.15712163723386696,0.01699950486879023,0.4254827529295263,0.5745172470704737,,13,ACC,65,dhipp,False,metadata_good_sleep_lfp_equal,0,2,0,
BWRat18,1,BWRat18_020513,WARN,True,7591.0,40,222046,2012,4158,611,810,0.2650507179554736,0.5477539191147411,0.0804900540113292,0.10670530891845606,0.8932946910815439,,59,MotorCtx,113,piriformL3,True,metadata_differs_good_sleep_matches_lfp,0,51,90,
BWRat19,1,BWRat19_032513,WARN,True,3928.8,61,562797,453,1087,227,2161,0.11532586558044806,0.27673116089613037,0.05779022403258656,0.550152749490835,0.44984725050916496,,24,MotorCtx,8,MotorCtx,False,metadata_good_sleep_lfp_equal,0,54,0,
BWRat20,1,BWRat20_101013,WARN,True,13364.3,22,1045719,705,1942,654,10063,0.05275366656689614,0.145315773720443,0.04893744387907812,0.7529931158335827,0.24700688416641725,,22,ACC,25,ACC,False,metadata_good_sleep_lfp_equal,0,26,0,
Splinter,1,Splinter_020915,WARN,True,23487.5,51,2132698,3852,8336,1064,10235,0.16400562013028483,0.3549197428364627,0.045301656235364245,0.4357729807978882,0.5642270192021118,,43,OFC,12,OFC,False,metadata_good_sleep_lfp_equal,0,0,86,
JennBuzsaki22,1,20140528_565um,WARN,True,12395.736,33,1183330,789,2746,523,8337,0.063654699475595,0.22154094392900364,0.04219443323920936,0.672609923356192,0.327390076643808,,9,mPFC,65,dHipp,True,open_ended_metadata_and_good_sleep_resolved_to_lfp,0,0,0,
Bogey,1,Bogey_012615,WARN,True,24263.4,36,1253453,3460,6519,788,13496,0.14260396488480404,0.2686807072497218,0.032477434777232826,0.5562378930882413,0.44376210691175866,,46,mPFC,67,dHipp,True,metadata_and_good_sleep_differ_from_lfp,0,0,184,
BWRat21,1,BWRat21_121813,WARN,True,21705.8,12,186401,6308,7669,3458,4270,0.2906242801197881,0.35332872609997695,0.15931812946325732,0.19672886431697764,0.8032711356830223,,22,mPFC,55,mPFC,False,metadata_good_sleep_lfp_equal,0,449,310,
Dino,1,Dino_072314_mPFC,WARN,True,10321.1,16,342903,1644,1834,610,6233,0.15928689080515454,0.17769595969382812,0.059102800116267805,0.6039143493847495,0.3960856506152505,,120,mPFC,120,mPFC,False,metadata_good_sleep_lfp_equal,0,97,713,
Rizzo,1,Rizzo_022715,WARN,True,25932.1,93,4503467,4886,6514,1718,12814,0.18841585685639364,0.2511954342125559,0.06625019281196977,0.49413851611908066,0.5058614838809193,,40,OFC,1,OFC,False,metadata_good_sleep_lfp_equal,0,0,131,
Templeton,1,Templeton_032415,WARN,True,19057.6,10,124190,4405,9199,1755,3698,0.23114865928530198,0.4827097654405205,0.09209214461877525,0.19404943065540223,0.8059505693445977,,27,mPFC,57,dhipp,False,metadata_good_sleep_lfp_equal,0,0,130,
