animal_id,session_count,assessed_session_count,duration_range,unit_count_range,valid_supervision_range,LFP_anatomies,theta_anatomies,support_patterns,duration_mismatch_sessions,OOB_range,conflict_range,official_caveats,wake_fraction_range,nrem_fraction_range,rem_fraction_range,ignore_fraction_range
BWRat17,2,2,"{""n"": 2, ""min"": 6059.4, ""median"": 6297.049999999999, ""max"": 6534.7}","{""n"": 2, ""min"": 35.0, ""median"": 42.5, ""max"": 50.0}","{""n"": 2, ""min"": 0.5745172470704737, ""median"": 0.5875341056289007, ""max"": 0.6005509641873278}","[""ACC""]","[""dhipp""]","{""BWRat17_121712"": ""metadata_good_sleep_lfp_equal"", ""BWRat17_121912"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 2, ""min"": 2.0, ""median"": 28.0, ""max"": 54.0}","{""n"": 2, ""min"": 0.0, ""median"": 0.0, ""max"": 0.0}","{""BWRat17_121712"": ""Exact source/release basename match; ACC"", ""BWRat17_121912"": ""Exact source/release basename match; ACC""}","{""n"": 2, ""min"": 0.18120599938781756, ""median"": 0.29080105217781704, ""max"": 0.40039610496781647}","{""n"": 2, ""min"": 0.15712163723386696, ""median"": 0.27063305614371647, ""max"": 0.38414447505356597}","{""n"": 2, ""min"": 0.01699950486879023, ""median"": 0.026099997307367263, ""max"": 0.035200489745944294}","{""n"": 2, ""min"": 0.39944903581267216, ""median"": 0.41246589437109926, ""max"": 0.4254827529295263}"
BWRat18,1,1,"{""n"": 1, ""min"": 7591.0, ""median"": 7591.0, ""max"": 7591.0}","{""n"": 1, ""min"": 40.0, ""median"": 40.0, ""max"": 40.0}","{""n"": 1, ""min"": 0.8932946910815439, ""median"": 0.8932946910815439, ""max"": 0.8932946910815439}","[""MotorCtx""]","[""piriformL3""]","{""BWRat18_020513"": ""metadata_differs_good_sleep_matches_lfp""}","[""BWRat18_020513""]","{""n"": 1, ""min"": 51.0, ""median"": 51.0, ""max"": 51.0}","{""n"": 1, ""min"": 90.0, ""median"": 90.0, ""max"": 90.0}","{""BWRat18_020513"": ""Exact source/release basename match; M2""}","{""n"": 1, ""min"": 0.2650507179554736, ""median"": 0.2650507179554736, ""max"": 0.2650507179554736}","{""n"": 1, ""min"": 0.5477539191147411, ""median"": 0.5477539191147411, ""max"": 0.5477539191147411}","{""n"": 1, ""min"": 0.0804900540113292, ""median"": 0.0804900540113292, ""max"": 0.0804900540113292}","{""n"": 1, ""min"": 0.10670530891845606, ""median"": 0.10670530891845606, ""max"": 0.10670530891845606}"
BWRat19,2,2,"{""n"": 2, ""min"": 3928.8, ""median"": 4471.1, ""max"": 5013.4}","{""n"": 2, ""min"": 50.0, ""median"": 55.5, ""max"": 61.0}","{""n"": 2, ""min"": 0.44984725050916496, ""median"": 0.5812970543389631, ""max"": 0.7127468581687613}","[""MotorCtx""]","[""MotorCtx""]","{""BWRat19_032413"": ""metadata_good_sleep_lfp_equal"", ""BWRat19_032513"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 2, ""min"": 54.0, ""median"": 54.5, ""max"": 55.0}","{""n"": 2, ""min"": 0.0, ""median"": 81.0, ""max"": 162.0}","{""BWRat19_032413"": ""Exact source/release basename match; M2"", ""BWRat19_032513"": ""Exact source/release basename match; M2""}","{""n"": 2, ""min"": 0.11532586558044806, ""median"": 0.24108603273037962, ""max"": 0.3668461998803112}","{""n"": 2, ""min"": 0.27673116089613037, ""median"": 0.31131590959229016, ""max"": 0.34590065828845}","{""n"": 2, ""min"": 0.0, ""median"": 0.02889511201629328, ""max"": 0.05779022403258656}","{""n"": 2, ""min"": 0.2872531418312388, ""median"": 0.41870294566103694, ""max"": 0.550152749490835}"
BWRat20,2,2,"{""n"": 2, ""min"": 13364.3, ""median"": 18188.15, ""max"": 23012.0}","{""n"": 2, ""min"": 22.0, ""median"": 44.0, ""max"": 66.0}","{""n"": 2, ""min"": 0.24700688416641725, ""median"": 0.28083439984437675, ""max"": 0.3146619155223362}","[""ACC""]","[""ACC""]","{""BWRat20_101013"": ""metadata_good_sleep_lfp_equal"", ""BWRat20_101513"": ""metadata_differs_good_sleep_matches_lfp""}","[""BWRat20_101513""]","{""n"": 2, ""min"": 26.0, ""median"": 259.0, ""max"": 492.0}","{""n"": 2, ""min"": 0.0, ""median"": 0.0, ""max"": 0.0}","{""BWRat20_101013"": ""Exact source/release basename match; ACC"", ""BWRat20_101513"": ""Exact source/release basename match; ACC; ketamine noted between epochs 03 and 04""}","{""n"": 2, ""min"": 0.05275366656689614, ""median"": 0.053123747936672475, ""max"": 0.05349382930644881}","{""n"": 2, ""min"": 0.145315773720443, ""median"": 0.1786677947343741, ""max"": 0.21201981574830522}","{""n"": 2, ""min"": 0.04893744387907812, ""median"": 0.04904285717333012, ""max"": 0.049148270467582134}","{""n"": 2, ""min"": 0.6853380844776639, ""median"": 0.7191656001556233, ""max"": 0.7529931158335827}"
BWRat21,3,3,"{""n"": 3, ""min"": 21542.1, ""median"": 21705.8, ""max"": 21883.2}","{""n"": 3, ""min"": 12.0, ""median"": 21.0, ""max"": 32.0}","{""n"": 3, ""min"": 0.1036579704762789, ""median"": 0.31005803591829273, ""max"": 0.8032711356830223}","[""mPFC""]","["""", ""mPFC""]","{""BWRat21_121113"": ""metadata_good_sleep_lfp_equal"", ""BWRat21_121613"": ""metadata_good_sleep_lfp_equal"", ""BWRat21_121813"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 3, ""min"": 141.0, ""median"": 449.0, ""max"": 529.0}","{""n"": 3, ""min"": 0.0, ""median"": 39.0, ""max"": 310.0}","{""BWRat21_121113"": ""Exact source/release basename match; mPFC; table notes instability after about 22000 s"", ""BWRat21_121613"": ""Exact source/release basename match; mPFC; ketamine session"", ""BWRat21_121813"": ""Exact source/release basename match; mPFC; saline session""}","{""n"": 3, ""min"": 0.0217714232661777, ""median"": 0.09655897271854864, ""max"": 0.2906242801197881}","{""n"": 3, ""min"": 0.07120972983009934, ""median"": 0.1550518667458758, ""max"": 0.35332872609997695}","{""n"": 3, ""min"": 0.010676817380001856, ""median"": 0.0584471964538683, ""max"": 0.15931812946325732}","{""n"": 3, ""min"": 0.19672886431697764, ""median"": 0.6899419640817073, ""max"": 0.8963420295237211}"
Bogey,1,1,"{""n"": 1, ""min"": 24263.4, ""median"": 24263.4, ""max"": 24263.4}","{""n"": 1, ""min"": 36.0, ""median"": 36.0, ""max"": 36.0}","{""n"": 1, ""min"": 0.44376210691175866, ""median"": 0.44376210691175866, ""max"": 0.44376210691175866}","[""mPFC""]","[""dHipp""]","{""Bogey_012615"": ""metadata_and_good_sleep_differ_from_lfp""}","[""Bogey_012615""]","{""n"": 1, ""min"": 0.0, ""median"": 0.0, ""max"": 0.0}","{""n"": 1, ""min"": 184.0, ""median"": 184.0, ""max"": 184.0}","{""Bogey_012615"": ""Exact source/release basename match; mPFC""}","{""n"": 1, ""min"": 0.14260396488480404, ""median"": 0.14260396488480404, ""max"": 0.14260396488480404}","{""n"": 1, ""min"": 0.2686807072497218, ""median"": 0.2686807072497218, ""max"": 0.2686807072497218}","{""n"": 1, ""min"": 0.032477434777232826, ""median"": 0.032477434777232826, ""max"": 0.032477434777232826}","{""n"": 1, ""min"": 0.5562378930882413, ""median"": 0.5562378930882413, ""max"": 0.5562378930882413}"
Dino,8,6,"{""n"": 6, ""min"": 7958.7, ""median"": 16427.5, ""max"": 22363.2}","{""n"": 8, ""min"": 16.0, ""median"": 41.0, ""max"": 113.0}","{""n"": 6, ""min"": 0.3071591468049904, ""median"": 0.3921026848210122, ""max"": 0.5720030158331239}","[""ACC"", ""mPFC""]","["""", ""ACC"", ""mPFC""]","{""Dino_061814_mPFC"": ""metadata_good_sleep_lfp_equal"", ""Dino_061914_ACC"": ""metadata: ValueError: RecordingFileIntervals contains stop <= start."", ""Dino_061914_mPFC"": ""metadata: ValueError: RecordingFileIntervals contains stop <= start."", ""Dino_062014_ACC"": ""metadata_good_sleep_lfp_equal"", ""Dino_062014_mPFC"": ""metadata_good_sleep_lfp_equal"", ""Dino_072114_mPFC"": ""metadata_good_sleep_lfp_equal"", ""Dino_072314_mPFC"": ""metadata_good_sleep_lfp_equal"", ""Dino_072414_mPFC"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 6, ""min"": 0.0, ""median"": 40.0, ""max"": 130.0}","{""n"": 6, ""min"": 26.0, ""median"": 162.5, ""max"": 713.0}","{""Dino_061814_mPFC"": ""Exact source/release basename match; mPFC"", ""Dino_061914_ACC"": ""Exact source/release basename match; ACC recording"", ""Dino_061914_mPFC"": ""Exact source/release basename match; mPFC recording from same date as ACC release"", ""Dino_062014_ACC"": ""Exact source/release basename match; ACC; alternate-maze training"", ""Dino_062014_mPFC"": ""Exact source/release basename match; mPFC; alternate-maze training"", ""Dino_072114_mPFC"": ""Exact source/release basename match; mPFC; table notes few units and almost no assemblies"", ""Dino_072314_mPFC"": ""Exact source/release basename match; mPFC"", ""Dino_072414_mPFC"": ""Exact source/release basename match; mPFC""}","{""n"": 6, ""min"": 0.1160846040334481, ""median"": 0.18465209856352605, ""max"": 0.4072631314400603}","{""n"": 6, ""min"": 0.0751817080557238, ""median"": 0.14869141752952492, ""max"": 0.3412780038456379}","{""n"": 6, ""min"": 0.012492428831011508, ""median"": 0.03589706020868437, ""max"": 0.08165272995573045}","{""n"": 6, ""min"": 0.4279969841668761, ""median"": 0.6078973151789878, ""max"": 0.6928408531950097}"
JennBuzsaki22,3,2,"{""n"": 2, ""min"": 12395.736, ""median"": 15005.502, ""max"": 17615.268}","{""n"": 3, ""min"": 29.0, ""median"": 33.0, ""max"": 62.0}","{""n"": 2, ""min"": 0.2063014476298609, ""median"": 0.2668457621368344, ""max"": 0.327390076643808}","[""mPFC""]","[""dHipp""]","{""20140526_277um"": ""spike: ValueError: Stable unit 1 is not on the 1250 Hz acquisition grid; maximum tick error is 0.5."", ""20140527_421um"": ""open_ended_metadata_and_good_sleep_resolved_to_lfp"", ""20140528_565um"": ""open_ended_metadata_and_good_sleep_resolved_to_lfp""}","[""20140526_277um"", ""20140527_421um"", ""20140528_565um""]","{""n"": 2, ""min"": 0.0, ""median"": 0.0, ""max"": 0.0}","{""n"": 2, ""min"": 0.0, ""median"": 79.0, ""max"": 158.0}","{""20140526_277um"": ""Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp"", ""20140527_421um"": ""Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp"", ""20140528_565um"": ""Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp""}","{""n"": 2, ""min"": 0.063654699475595, ""median"": 0.07491562677441402, ""max"": 0.08617655407323303}","{""n"": 2, ""min"": 0.10848708487084871, ""median"": 0.1650140143999262, ""max"": 0.22154094392900364}","{""n"": 2, ""min"": 0.011637808685779166, ""median"": 0.02691612096249426, ""max"": 0.04219443323920936}","{""n"": 2, ""min"": 0.672609923356192, ""median"": 0.7331542378631655, ""max"": 0.7936985523701391}"
Rizzo,2,2,"{""n"": 2, ""min"": 25932.1, ""median"": 33243.6, ""max"": 40555.1}","{""n"": 2, ""min"": 26.0, ""median"": 59.5, ""max"": 93.0}","{""n"": 2, ""min"": 0.5058614838809193, ""median"": 0.5621527860780506, ""max"": 0.6184440882751818}","[""OFC""]","[""OFC""]","{""Rizzo_022615"": ""metadata_good_sleep_lfp_equal"", ""Rizzo_022715"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 2, ""min"": 0.0, ""median"": 0.0, ""max"": 0.0}","{""n"": 2, ""min"": 0.0, ""median"": 65.5, ""max"": 131.0}","{""Rizzo_022615"": ""Exact source/release basename match; OFC; table notes additional unstable units"", ""Rizzo_022715"": ""Exact source/release basename match; OFC""}","{""n"": 2, ""min"": 0.17992849217112564, ""median"": 0.18417217451375964, ""max"": 0.18841585685639364}","{""n"": 2, ""min"": 0.2511954342125559, ""median"": 0.2985603604301591, ""max"": 0.3459252866477623}","{""n"": 2, ""min"": 0.06625019281196977, ""median"": 0.07942025113413184, ""max"": 0.09259030945629391}","{""n"": 2, ""min"": 0.3815559117248182, ""median"": 0.4378472139219494, ""max"": 0.49413851611908066}"
Splinter,2,2,"{""n"": 2, ""min"": 23487.5, ""median"": 23662.1, ""max"": 23836.699999999997}","{""n"": 2, ""min"": 27.0, ""median"": 39.0, ""max"": 51.0}","{""n"": 2, ""min"": 0.5033143144822957, ""median"": 0.5337706668422038, ""max"": 0.5642270192021118}","[""OFC""]","[""OFC""]","{""Splinter_020515"": ""metadata_good_sleep_lfp_equal"", ""Splinter_020915"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 2, ""min"": 0.0, ""median"": 3.0, ""max"": 6.0}","{""n"": 2, ""min"": 86.0, ""median"": 103.0, ""max"": 120.0}","{""Splinter_020515"": ""Exact source/release basename match; OFC"", ""Splinter_020915"": ""Exact source/release basename match; OFC""}","{""n"": 2, ""min"": 0.16400562013028483, ""median"": 0.17610416935361362, ""max"": 0.18820271857694243}","{""n"": 2, ""min"": 0.2755076355093136, ""median"": 0.31521368917288817, ""max"": 0.3549197428364627}","{""n"": 2, ""min"": 0.039603960396039604, ""median"": 0.042452808315701925, ""max"": 0.045301656235364245}","{""n"": 2, ""min"": 0.4357729807978882, ""median"": 0.46622933315779624, ""max"": 0.4966856855177043}"
Templeton,1,1,"{""n"": 1, ""min"": 19057.6, ""median"": 19057.6, ""max"": 19057.6}","{""n"": 1, ""min"": 10.0, ""median"": 10.0, ""max"": 10.0}","{""n"": 1, ""min"": 0.8059505693445977, ""median"": 0.8059505693445977, ""max"": 0.8059505693445977}","[""mPFC""]","[""dhipp""]","{""Templeton_032415"": ""metadata_good_sleep_lfp_equal""}",[],"{""n"": 1, ""min"": 0.0, ""median"": 0.0, ""max"": 0.0}","{""n"": 1, ""min"": 130.0, ""median"": 130.0, ""max"": 130.0}","{""Templeton_032415"": ""Exact source/release basename match; OFC; table notes unstable units and high-frequency noise""}","{""n"": 1, ""min"": 0.23114865928530198, ""median"": 0.23114865928530198, ""max"": 0.23114865928530198}","{""n"": 1, ""min"": 0.4827097654405205, ""median"": 0.4827097654405205, ""max"": 0.4827097654405205}","{""n"": 1, ""min"": 0.09209214461877525, ""median"": 0.09209214461877525, ""max"": 0.09209214461877525}","{""n"": 1, ""min"": 0.19404943065540223, ""median"": 0.19404943065540223, ""max"": 0.19404943065540223}"
