session_id,animal_id,preflight_status,issues
BWRat17_121712,BWRat17,PASS,[]
BWRat17_121912,BWRat17,PASS,[]
BWRat18_020513,BWRat18,PASS,[]
BWRat19_032413,BWRat19,PASS,[]
BWRat19_032513,BWRat19,PASS,[]
BWRat20_101013,BWRat20,PASS,[]
BWRat20_101513,BWRat20,PASS,[]
BWRat21_121113,BWRat21,PASS,[]
BWRat21_121613,BWRat21,PASS,[]
BWRat21_121813,BWRat21,PASS,[]
Dino_061814_mPFC,Dino,PASS,[]
Dino_061914_ACC,Dino,PASS,[]
Dino_061914_mPFC,Dino,PASS,[]
Dino_062014_ACC,Dino,PASS,[]
Dino_062014_mPFC,Dino,PASS,[]
Dino_072114_mPFC,Dino,PASS,[]
Dino_072314_mPFC,Dino,PASS,[]
Dino_072414_mPFC,Dino,PASS,[]
20140526_277um,JennBuzsaki22,PASS,[]
20140527_421um,JennBuzsaki22,PASS,[]
20140528_565um,JennBuzsaki22,PASS,[]
Bogey_012615,Bogey,PASS,[]
Splinter_020515,Splinter,PASS,[]
Splinter_020915,Splinter,PASS,[]
Rizzo_022615,Rizzo,PASS,[]
Rizzo_022715,Rizzo,PASS,[]
Templeton_032415,Templeton,PASS,[]
