session_id,xml_acquisition_rate_hz,metadata_acquisition_rate_hz,lfp_rate_hz,spike_decimal_places_needed,spike_decimal_quantum_s,on_grid_tolerance_ticks,candidate_frequency_hz,units_total,units_all_on_grid,units_with_off_grid,total_spikes,on_grid_count,off_grid_count,off_grid_fraction,max_tick_error,median_tick_error,residual_q0_ticks,residual_q25_ticks,residual_q50_ticks,residual_q75_ticks,residual_q90_ticks,residual_q95_ticks,residual_q99_ticks,residual_q100_ticks,residual_histogram_tick_bins
20140526_277um,1250.0,1250.0,1250.0,5,1e-05,1e-06,1250,62,0,62,2214209,137189,2077020,0.9380415308581981,0.5,0.25,0.0,0.125,0.25,0.375,0.4375,0.5,0.5,0.5,"{""[0,1e-9]"":127232,""(1e-9,1e-6]"":9957,""(1e-6,0.125]"":295995,""(0.125,0.25]"":557518,""(0.25,0.375]"":550046,""(0.375,0.5]"":673461}"
20140526_277um,1250.0,1250.0,1250.0,5,1e-05,1e-06,2500,62,0,62,2214209,274129,1940080,0.8761955172253387,0.5,0.25,0.0,0.125,0.25,0.375,0.5,0.5,0.5,0.5,"{""[0,1e-9]"":244654,""(1e-9,1e-6]"":29475,""(1e-6,0.125]"":37769,""(0.125,0.25]"":554167,""(0.25,0.375]"":559546,""(0.375,0.5]"":788598}"
20140526_277um,1250.0,1250.0,1250.0,5,1e-05,1e-06,5000,62,0,62,2214209,547165,1667044,0.7528846644557944,0.5,0.25,0.0,0.2499999925494194,0.25,0.4999999925494194,0.5,0.5,0.5,0.5,"{""[0,1e-9]"":480711,""(1e-9,1e-6]"":66454,""(1e-6,0.125]"":0,""(0.125,0.25]"":75887,""(0.25,0.375]"":1031619,""(0.375,0.5]"":559538}"
20140526_277um,1250.0,1250.0,1250.0,5,1e-05,1e-06,10000,62,0,62,2214209,1106703,1107506,0.5001813288628129,0.5,0.4999999850988388,0.0,0.0,0.4999999850988388,0.5,0.5,0.5,0.5,0.5,"{""[0,1e-9]"":963948,""(1e-9,1e-6]"":142755,""(1e-6,0.125]"":0,""(0.125,0.25]"":0,""(0.25,0.375]"":0,""(0.375,0.5]"":1107506}"
20140526_277um,1250.0,1250.0,1250.0,5,1e-05,1e-06,20000,62,62,0,2214209,2214209,0,0.0,2.9802322387695312e-08,0.0,0.0,0.0,0.0,0.0,1.4901161193847656e-08,2.9802322387695312e-08,2.9802322387695312e-08,2.9802322387695312e-08,"{""[0,1e-9]"":1918927,""(1e-9,1e-6]"":295282,""(1e-6,0.125]"":0,""(0.125,0.25]"":0,""(0.25,0.375]"":0,""(0.375,0.5]"":0}"
20140527_421um,20000.0,20000.0,1250.0,5,1e-05,1e-06,1250,29,0,29,1309067,79213,1229854,0.9394889642776114,0.5,0.25,0.0,0.125,0.25,0.375,0.4375,0.5,0.5,0.5,"{""[0,1e-9]"":74422,""(1e-9,1e-6]"":4791,""(1e-6,0.125]"":174472,""(0.125,0.25]"":330831,""(0.25,0.375]"":323878,""(0.375,0.5]"":400673}"
20140527_421um,20000.0,20000.0,1250.0,5,1e-05,1e-06,2500,29,0,29,1309067,157911,1151156,0.8793713385181966,0.5,0.25,0.0,0.125,0.25,0.375,0.5,0.5,0.5,0.5,"{""[0,1e-9]"":144033,""(1e-9,1e-6]"":13878,""(1e-6,0.125]"":18965,""(0.125,0.25]"":330705,""(0.25,0.375]"":331555,""(0.375,0.5]"":469931}"
20140527_421um,20000.0,20000.0,1250.0,5,1e-05,1e-06,5000,29,0,29,1309067,315534,993533,0.758962681054522,0.5,0.25,0.0,0.2499999925494194,0.25,0.4999999925494194,0.5,0.5,0.5,0.5,"{""[0,1e-9]"":283473,""(1e-9,1e-6]"":32061,""(1e-6,0.125]"":0,""(0.125,0.25]"":38061,""(0.25,0.375]"":623781,""(0.375,0.5]"":331691}"
20140527_421um,20000.0,20000.0,1250.0,5,1e-05,1e-06,10000,29,0,29,1309067,647225,661842,0.5055829839114423,0.5,0.4999999701976776,0.0,0.0,0.4999999701976776,0.5,0.5,0.5,0.5,0.5,"{""[0,1e-9]"":577500,""(1e-9,1e-6]"":69725,""(1e-6,0.125]"":0,""(0.125,0.25]"":0,""(0.25,0.375]"":0,""(0.375,0.5]"":661842}"
20140527_421um,20000.0,20000.0,1250.0,5,1e-05,1e-06,20000,29,29,0,1309067,1309067,0,0.0,5.960464477539063e-08,0.0,0.0,0.0,0.0,0.0,7.450580596923828e-09,2.9802322387695312e-08,5.960464477539063e-08,5.960464477539063e-08,"{""[0,1e-9]"":1163389,""(1e-9,1e-6]"":145678,""(1e-6,0.125]"":0,""(0.125,0.25]"":0,""(0.25,0.375]"":0,""(0.375,0.5]"":0}"
