animal_id,n_sessions,sessions,n_pipeline_valid,total_recording_duration_s,total_valid_supervision_seconds,stable_units,raw_stable_units_all_sessions,valid_fraction_range,LFP_anatomies,theta_anatomies,duration_mismatch_session_count,open_ended_session_count,core_OOB_total,auxiliary_OOB_total,total_conflict_seconds,conflict_types,official_caveats,status_counts,wake_total,nrem_total,rem_total,ignore_total,stable_unit_min,validated_stable_unit_min,stable_unit_median,validated_stable_unit_median,stable_unit_max,validated_stable_unit_max,PASS_count,WARN_count,FAIL_count
BWRat17,2,"[""BWRat17_121712"", ""BWRat17_121912""]",2,12594.099999999999,7405,"{""n"": 2, ""min"": 35.0, ""median"": 42.5, ""max"": 50.0}","{""n"": 2, ""min"": 35.0, ""median"": 42.5, ""max"": 50.0}","{""n"": 2, ""min"": 0.5745172470704737, ""median"": 0.5875341056289007, ""max"": 0.6005509641873278}","[""ACC""]","[""dhipp""]",0,0,0,56,0,[],"{""BWRat17_121712"": ""Exact source/release basename match; ACC"", ""BWRat17_121912"": ""Exact source/release basename match; ACC""}","{""WARN"": 2}",3610,3462,333,5188,35.0,35.0,42.5,42.5,50.0,50.0,0,2,0
BWRat18,1,"[""BWRat18_020513""]",1,7591.0,6781,"{""n"": 1, ""min"": 40.0, ""median"": 40.0, ""max"": 40.0}","{""n"": 1, ""min"": 40.0, ""median"": 40.0, ""max"": 40.0}","{""n"": 1, ""min"": 0.8932946910815439, ""median"": 0.8932946910815439, ""max"": 0.8932946910815439}","[""MotorCtx""]","[""piriformL3""]",1,0,0,51,90,"[""WAKE+MA"", ""WAKE+WakeInterruption""]","{""BWRat18_020513"": ""Exact source/release basename match; M2""}","{""WARN"": 1}",2012,4158,611,810,40.0,40.0,40.0,40.0,40.0,40.0,0,1,0
BWRat19,2,"[""BWRat19_032413"", ""BWRat19_032513""]",2,8942.2,5340,"{""n"": 2, ""min"": 50.0, ""median"": 55.5, ""max"": 61.0}","{""n"": 2, ""min"": 50.0, ""median"": 55.5, ""max"": 61.0}","{""n"": 2, ""min"": 0.44984725050916496, ""median"": 0.5812970543389631, ""max"": 0.7127468581687613}","[""MotorCtx""]","[""MotorCtx""]",0,0,0,109,162,"[""WAKE+MA"", ""WAKE+WakeInterruption""]","{""BWRat19_032413"": ""Exact source/release basename match; M2"", ""BWRat19_032513"": ""Exact source/release basename match; M2""}","{""WARN"": 2}",2292,2821,227,3601,50.0,50.0,55.5,55.5,61.0,61.0,0,2,0
BWRat20,2,"[""BWRat20_101013"", ""BWRat20_101513""]",2,36376.3,10542,"{""n"": 2, ""min"": 22.0, ""median"": 44.0, ""max"": 66.0}","{""n"": 2, ""min"": 22.0, ""median"": 44.0, ""max"": 66.0}","{""n"": 2, ""min"": 0.24700688416641725, ""median"": 0.28083439984437675, ""max"": 0.3146619155223362}","[""ACC""]","[""ACC""]",1,0,0,518,0,[],"{""BWRat20_101013"": ""Exact source/release basename match; ACC"", ""BWRat20_101513"": ""Exact source/release basename match; ACC; ketamine noted between epochs 03 and 04""}","{""WARN"": 2}",1936,6821,1785,25834,22.0,22.0,44.0,44.0,66.0,66.0,0,2,0
BWRat21,3,"[""BWRat21_121113"", ""BWRat21_121613"", ""BWRat21_121813""]",3,65131.1,26453,"{""n"": 3, ""min"": 12.0, ""median"": 21.0, ""max"": 32.0}","{""n"": 3, ""min"": 12.0, ""median"": 21.0, ""max"": 32.0}","{""n"": 3, ""min"": 0.1036579704762789, ""median"": 0.31005803591829273, ""max"": 0.8032711356830223}","[""mPFC""]","["""", ""mPFC""]",0,0,0,1119,349,"[""WAKE+WakeInterruption""]","{""BWRat21_121113"": ""Exact source/release basename match; mPFC; table notes instability after about 22000 s"", ""BWRat21_121613"": ""Exact source/release basename match; mPFC; ketamine session"", ""BWRat21_121813"": ""Exact source/release basename match; mPFC; saline session""}","{""WARN"": 3}",8890,12596,4967,38677,12.0,12.0,21.0,21.0,32.0,32.0,0,3,0
Bogey,1,"[""Bogey_012615""]",1,24263.4,10767,"{""n"": 1, ""min"": 36.0, ""median"": 36.0, ""max"": 36.0}","{""n"": 1, ""min"": 36.0, ""median"": 36.0, ""max"": 36.0}","{""n"": 1, ""min"": 0.44376210691175866, ""median"": 0.44376210691175866, ""max"": 0.44376210691175866}","[""mPFC""]","[""dHipp""]",1,0,0,0,184,"[""WAKE+MA"", ""WAKE+WakeInterruption""]","{""Bogey_012615"": ""Exact source/release basename match; mPFC""}","{""WARN"": 1}",3460,6519,788,13496,36.0,36.0,36.0,36.0,36.0,36.0,0,1,0
Dino,8,"[""Dino_061814_mPFC"", ""Dino_061914_ACC"", ""Dino_061914_mPFC"", ""Dino_062014_ACC"", ""Dino_062014_mPFC"", ""Dino_072114_mPFC"", ""Dino_072314_mPFC"", ""Dino_072414_mPFC""]",8,130900.2992,44942,"{""n"": 8, ""min"": 16.0, ""median"": 41.0, ""max"": 113.0}","{""n"": 8, ""min"": 16.0, ""median"": 41.0, ""max"": 113.0}","{""n"": 8, ""min"": 0.1440150693532736, ""median"": 0.3552879031233203, ""max"": 0.5720030158331239}","[""ACC"", ""mPFC""]","["""", ""ACC"", ""mPFC""]",2,0,0,365,1703,"[""WAKE+MA"", ""WAKE+WakeInterruption""]","{""Dino_061814_mPFC"": ""Exact source/release basename match; mPFC"", ""Dino_061914_ACC"": ""Exact source/release basename match; ACC recording"", ""Dino_061914_mPFC"": ""Exact source/release basename match; mPFC recording from same date as ACC release"", ""Dino_062014_ACC"": ""Exact source/release basename match; ACC; alternate-maze training"", ""Dino_062014_mPFC"": ""Exact source/release basename match; mPFC; alternate-maze training"", ""Dino_072114_mPFC"": ""Exact source/release basename match; mPFC; table notes few units and almost no assemblies"", ""Dino_072314_mPFC"": ""Exact source/release basename match; mPFC"", ""Dino_072414_mPFC"": ""Exact source/release basename match; mPFC""}","{""WARN"": 8}",18942,21056,4944,85955,16.0,16.0,41.0,41.0,113.0,113.0,0,8,0
JennBuzsaki22,3,"[""20140526_277um"", ""20140527_421um"", ""20140528_565um""]",3,43583.364,12768,"{""n"": 3, ""min"": 29.0, ""median"": 33.0, ""max"": 62.0}","{""n"": 3, ""min"": 29.0, ""median"": 33.0, ""max"": 62.0}","{""n"": 3, ""min"": 0.2063014476298609, ""median"": 0.327390076643808, ""max"": 0.3740053050397878}","[""mPFC""]","[""dHipp""]",3,3,0,0,158,"[""WAKE+MA"", ""WAKE+WakeInterruption""]","{""20140526_277um"": ""Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp"", ""20140527_421um"": ""Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp"", ""20140528_565um"": ""Exact source/release basename match; official animal group is JennBuzsaki22; mPFC+dHipp""}","{""WARN"": 3}",4448,7411,909,30814,29.0,29.0,33.0,33.0,62.0,62.0,0,3,0
Rizzo,2,"[""Rizzo_022615"", ""Rizzo_022715""]",2,66487.2,38199,"{""n"": 2, ""min"": 26.0, ""median"": 59.5, ""max"": 93.0}","{""n"": 2, ""min"": 26.0, ""median"": 59.5, ""max"": 93.0}","{""n"": 2, ""min"": 0.5058614838809193, ""median"": 0.5621527860780506, ""max"": 0.6184440882751818}","[""OFC""]","[""OFC""]",0,0,0,0,131,"[""WAKE+SLEEP"", ""WAKE+SLEEP+NREM"", ""WAKE+SLEEP+WakeInterruption"", ""WAKE+WakeInterruption""]","{""Rizzo_022615"": ""Exact source/release basename match; OFC; table notes additional unstable units"", ""Rizzo_022715"": ""Exact source/release basename match; OFC""}","{""WARN"": 2}",12183,20543,5473,28288,26.0,26.0,59.5,59.5,93.0,93.0,0,2,0
Splinter,2,"[""Splinter_020515"", ""Splinter_020915""]",2,47324.2,25249,"{""n"": 2, ""min"": 27.0, ""median"": 39.0, ""max"": 51.0}","{""n"": 2, ""min"": 27.0, ""median"": 39.0, ""max"": 51.0}","{""n"": 2, ""min"": 0.5033143144822957, ""median"": 0.5337706668422038, ""max"": 0.5642270192021118}","[""OFC""]","[""OFC""]",0,0,0,6,206,"[""WAKE+MA"", ""WAKE+SLEEP"", ""WAKE+SLEEP+MA"", ""WAKE+SLEEP+NREM"", ""WAKE+SLEEP+WakeInterruption"", ""WAKE+WakeInterruption""]","{""Splinter_020515"": ""Exact source/release basename match; OFC"", ""Splinter_020915"": ""Exact source/release basename match; OFC""}","{""WARN"": 2}",8338,14903,2008,22074,27.0,27.0,39.0,39.0,51.0,51.0,0,2,0
