animal_id,session_id,semantic_role,source_field,source_file,raw_value,source_indexing,physical_channel_one_based,numpy_column_zero_based,anatomy_raw,missing,malformed,used_by_m4,shares_physical_channel_with,cross_source_check
BWRat17,BWRat17_121712,recommended_lfp,goodeegchannel,BWRat17_121712_BasicMetaData.mat,13,1-based (official data description),13,12,ACC,False,False,True,spindle|up_state,
BWRat17,BWRat17_121712,theta,Thetachannel,BWRat17_121712_BasicMetaData.mat,65,1-based (official data description),65,64,dhipp,False,False,True,,
BWRat17,BWRat17_121712,spindle,Spindlechannel,BWRat17_121712_BasicMetaData.mat,13,1-based (official data description),13,12,ACC,False,False,False,recommended_lfp|up_state,
BWRat17,BWRat17_121712,up_state,UPstatechannel,BWRat17_121712_BasicMetaData.mat,13,1-based (official data description),13,12,ACC,False,False,False,recommended_lfp|spindle,
BWRat17,BWRat17_121712,up_state_detector,UPchannel,BWRat17_121712_UPDOWNINtervals.mat,13,1-based (matches BasicMetaData and detector output),13,12,ACC,False,False,False,,MATCH
BWRat17,BWRat17_121712,spindle_detector,SpindleData.detectionchan,BWRat17_121712_Spindles.mat,13,1-based (matches BasicMetaData and detector output),13,12,ACC,False,False,False,,MATCH
BWRat17,BWRat17_121912,recommended_lfp,goodeegchannel,BWRat17_121912_BasicMetaData.mat,13,1-based (official data description),13,12,ACC,False,False,True,spindle|up_state,
BWRat17,BWRat17_121912,theta,Thetachannel,BWRat17_121912_BasicMetaData.mat,67,1-based (official data description),67,66,dhipp,False,False,True,,
BWRat17,BWRat17_121912,spindle,Spindlechannel,BWRat17_121912_BasicMetaData.mat,13,1-based (official data description),13,12,ACC,False,False,False,recommended_lfp|up_state,
BWRat17,BWRat17_121912,up_state,UPstatechannel,BWRat17_121912_BasicMetaData.mat,13,1-based (official data description),13,12,ACC,False,False,False,recommended_lfp|spindle,
BWRat17,BWRat17_121912,up_state_detector,UPchannel,BWRat17_121912_UPDOWNINtervals.mat,13,1-based (matches BasicMetaData and detector output),13,12,ACC,False,False,False,,MATCH
BWRat17,BWRat17_121912,spindle_detector,SpindleData.detectionchan,BWRat17_121912_Spindles.mat,13,1-based (matches BasicMetaData and detector output),13,12,ACC,False,False,False,,MATCH
BWRat18,BWRat18_020513,recommended_lfp,goodeegchannel,BWRat18_020513_BasicMetaData.mat,59,1-based (official data description),59,58,MotorCtx,False,False,True,spindle|up_state,
BWRat18,BWRat18_020513,theta,Thetachannel,BWRat18_020513_BasicMetaData.mat,113,1-based (official data description),113,112,piriformL3,False,False,True,,
BWRat18,BWRat18_020513,spindle,Spindlechannel,BWRat18_020513_BasicMetaData.mat,59,1-based (official data description),59,58,MotorCtx,False,False,False,recommended_lfp|up_state,
BWRat18,BWRat18_020513,up_state,UPstatechannel,BWRat18_020513_BasicMetaData.mat,59,1-based (official data description),59,58,MotorCtx,False,False,False,recommended_lfp|spindle,
BWRat18,BWRat18_020513,up_state_detector,UPchannel,BWRat18_020513_UPDOWNINtervals.mat,59,1-based (matches BasicMetaData and detector output),59,58,MotorCtx,False,False,False,,MATCH
BWRat18,BWRat18_020513,spindle_detector,SpindleData.detectionchan,BWRat18_020513_Spindles.mat,59,1-based (matches BasicMetaData and detector output),59,58,MotorCtx,False,False,False,,MATCH
BWRat19,BWRat19_032413,recommended_lfp,goodeegchannel,BWRat19_032413_BasicMetaData.mat,54,1-based (official data description),54,53,MotorCtx,False,False,True,theta|spindle|up_state,
BWRat19,BWRat19_032413,theta,Thetachannel,BWRat19_032413_BasicMetaData.mat,54,1-based (official data description),54,53,MotorCtx,False,False,True,recommended_lfp|spindle|up_state,
BWRat19,BWRat19_032413,spindle,Spindlechannel,BWRat19_032413_BasicMetaData.mat,54,1-based (official data description),54,53,MotorCtx,False,False,False,recommended_lfp|theta|up_state,
BWRat19,BWRat19_032413,up_state,UPstatechannel,BWRat19_032413_BasicMetaData.mat,54,1-based (official data description),54,53,MotorCtx,False,False,False,recommended_lfp|theta|spindle,
BWRat19,BWRat19_032413,up_state_detector,UPchannel,BWRat19_032413_UPDOWNINtervals.mat,54,1-based (matches BasicMetaData and detector output),54,53,MotorCtx,False,False,False,,MATCH
BWRat19,BWRat19_032413,spindle_detector,SpindleData.detectionchan,BWRat19_032413_Spindles.mat,54,1-based (matches BasicMetaData and detector output),54,53,MotorCtx,False,False,False,,MATCH
BWRat19,BWRat19_032513,recommended_lfp,goodeegchannel,BWRat19_032513_BasicMetaData.mat,24,1-based (official data description),24,23,MotorCtx,False,False,True,spindle|up_state,
BWRat19,BWRat19_032513,theta,Thetachannel,BWRat19_032513_BasicMetaData.mat,8,1-based (official data description),8,7,MotorCtx,False,False,True,,
BWRat19,BWRat19_032513,spindle,Spindlechannel,BWRat19_032513_BasicMetaData.mat,24,1-based (official data description),24,23,MotorCtx,False,False,False,recommended_lfp|up_state,
BWRat19,BWRat19_032513,up_state,UPstatechannel,BWRat19_032513_BasicMetaData.mat,24,1-based (official data description),24,23,MotorCtx,False,False,False,recommended_lfp|spindle,
BWRat19,BWRat19_032513,up_state_detector,UPchannel,BWRat19_032513_UPDOWNINtervals.mat,24,1-based (matches BasicMetaData and detector output),24,23,MotorCtx,False,False,False,,MATCH
