animal_id,session_id,official_category,official_duration,official_wake_activity,official_other_notes,official_ctx_clusters,official_other_clusters,raw_basicmetadata_condition_fields,provenance_assessment,source,automatic_exclusion
BWRat17,BWRat17_121712,OFC,40min,ObsCage&ObsFear,Shock... somewhat unstable,54,1 hipp,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat17,BWRat17_121912,OFC,100min,ObsCage&ObsFear,Obs Fear stable units,49,2 hipp,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat18,BWRat18_020513,OFC,100min,ObsCage&ObsFear,Big Instabilities at 7650s(?) & 9700s(shocks) in ctx units,61,34 in Piriform,"{""sleepstart"": 0, ""sleepstop"": 7591}",no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat19,BWRat19_032413,OFC,40min,ObsCage&ObsFear,,59,0,"{""sleepstart"": 0, ""sleepstop"": 7591}",no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat19,BWRat19_032513,OFC,25min,ObsCage&ObsFear,Some assemblies turn on A LOT when  put in obs cage... specific response,71,,"{""sleepstart"": 0, ""sleepstop"": 7591}",no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat20,BWRat20_101013,OFC,3.69hrs sleep (5.91hrs total),homecage,ndm_start processing,31,,"{""sleepstart"": 0, ""sleepstop"": 7591}",no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat20,BWRat20_101513,OFC,6.49hrs presleep,ketamine btw 03&04,,67,,"{""KetamineStartFile"": 4, ""KetamineTimeStamp"": 23347.5, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_and_official_condition_provenance_correspond,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat21,BWRat21_121113,OFC,13hr,homecage,Used only until UNSTABLE ~22000sec,36,,"{""KetamineStartFile"": 4, ""KetamineTimeStamp"": 23347.5, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat21,BWRat21_121613,OFC,6hrs,ketamine btw 06&07,Ketamine,22,8 in vCtx,"{""KetamineStartFile"": 7, ""KetamineTimeStamp"": 21542.1, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_and_official_condition_provenance_correspond,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
BWRat21,BWRat21_121813,OFC,6hrs,saline btw 05&06,,20,,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""manualGoodSleep"": 1, ""postsleepstartstop"": [15606.0, Infinity], ""presleepstartstop"": [0, 13128], ""sleepstart"": 0, ""sleepstop"": 23012}",raw_field_name_says_ketamine_but_official_condition_is_saline,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_061814_mPFC,OFC,5.4hrs,homecage,,114,only mPFC,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_061914_ACC,OFC,6.4hrs,homecage,,52,,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_061914_mPFC,OFC,6.4hrs,homecage,,60,,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_062014_ACC,OFC,6.2hrs,alt maze train,good,24,,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_062014_mPFC,OFC,6.2hrs,alt maze train,good,36,,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_072114_mPFC,OFC,9.4hrs,altmaze + novel OF,note very interesting paradigm but few units almost no assemblies,18,only mPFC,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_072314_mPFC,OFC,6.5hrs, OF + 2 new obj (new),,16,only mPFC,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Dino,Dino_072414_mPFC,OFC,6.5hrs, OF + 2 new obj #2,,48,only mPFC,"{""KetamineStartFile"": 6, ""KetamineTimeStamp"": 21705.8, ""sleepstart"": 0, ""sleepstop"": 23012}",raw_condition_fields_likely_stale_workspace_provenance,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
JennBuzsaki22,20140526_277um,OFC,3.7hrs,homecage,,62,hpc not done,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
JennBuzsaki22,20140527_421um,OFC,4.8hrs,homecage,,30,hpc not done,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
JennBuzsaki22,20140528_565um,OFC,3.4hrs,homecage,,34,hpc not done,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Bogey,Bogey_012615,OFC,,,,36,1,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Splinter,Splinter_020515,OFC,6h45m,,,28,na,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Splinter,Splinter_020915,OFC,,,,51,na,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Rizzo,Rizzo_022615,OFC,11+hrs,,Many more units available but unstable,26,na,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Rizzo,Rizzo_022715,OFC,7hrs,,,94,na,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
Templeton,Templeton_032415,OFC,,,all E & Hippoc too much strange HF noise,10,all unstable,{},no_raw_condition_field; official_workbook_only,WatsonSleepHomestasis2016Table.xlsx:SleepOverview + raw BasicMetaData.mat,no
