animal_id,session_id,source_field,source_file,raw_dtype,raw_shape,units,interval_convention,parser_role,raw_row_count,valid_row_count,oob_or_invalid_row_count,malformed_row_count,raw_parser_numeric_exact,intervalset_duplicate_matches_timepair,supervised_target_source
BWRat17,BWRat17_121712,WakeTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_WAKE,1,1,0,0,True,True,True
BWRat17,BWRat17_121712,SleepTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",broad_SLEEP_diagnostic,1,1,0,0,True,True,False
BWRat17,BWRat17_121712,SWSPacketTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(9, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_NREM,9,9,0,0,True,True,True
BWRat17,BWRat17_121712,REMTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_REM,1,1,0,0,True,True,True
BWRat17,BWRat17_121712,MATimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(10, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_MA,10,9,1,0,True,True,False
BWRat17,BWRat17_121712,WakeInterruptionTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(9, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_WakeInterruption,9,8,1,0,True,True,False
BWRat17,BWRat17_121712,REMEpisodeTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,1,1,0,0,True,True,False
BWRat17,BWRat17_121712,SWSEpisodeTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(4, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,4,4,0,0,True,True,False
BWRat17,BWRat17_121712,WakeSleepTimePairFormat,BWRat17_121712_WSRestrictedIntervals.mat,uint16,"(2, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_pair_diagnostic,2,2,0,0,True,True,False
BWRat17,BWRat17_121712,__SESSION_STRICT_LABEL_RECONSTRUCTION__,BWRat17_121712_WSRestrictedIntervals.mat,,,1-second bins,"target [t-1,t), full-bin coverage only",audit_summary,,,2,0,True,True,"{""counts_match"": true, ""independent_counts"": {""IGNORE"": 2578, ""NREM"": 952, ""REM"": 103, ""WAKE"": 2426}, ""m3_report_counts"": {""IGNORE"": 2578, ""NREM"": 952, ""REM"": 103, ""WAKE"": 2426}}"
BWRat17,BWRat17_121912,WakeTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_WAKE,1,1,0,0,True,True,True
BWRat17,BWRat17_121912,SleepTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",broad_SLEEP_diagnostic,1,1,0,0,True,True,False
BWRat17,BWRat17_121912,SWSPacketTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(33, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_NREM,33,33,0,0,True,True,True
BWRat17,BWRat17_121912,REMTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(5, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_REM,5,5,0,0,True,True,True
BWRat17,BWRat17_121912,MATimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(70, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_MA,70,33,37,0,True,True,False
BWRat17,BWRat17_121912,WakeInterruptionTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(42, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_WakeInterruption,42,25,17,0,True,True,False
BWRat17,BWRat17_121912,REMEpisodeTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(3, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,3,3,0,0,True,True,False
BWRat17,BWRat17_121912,SWSEpisodeTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(16, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,16,16,0,0,True,True,False
BWRat17,BWRat17_121912,WakeSleepTimePairFormat,BWRat17_121912_WSRestrictedIntervals.mat,uint16,"(2, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_pair_diagnostic,2,2,0,0,True,True,False
BWRat17,BWRat17_121912,__SESSION_STRICT_LABEL_RECONSTRUCTION__,BWRat17_121912_WSRestrictedIntervals.mat,,,1-second bins,"target [t-1,t), full-bin coverage only",audit_summary,,,54,0,True,True,"{""counts_match"": true, ""independent_counts"": {""IGNORE"": 2610, ""NREM"": 2510, ""REM"": 230, ""WAKE"": 1184}, ""m3_report_counts"": {""IGNORE"": 2610, ""NREM"": 2510, ""REM"": 230, ""WAKE"": 1184}}"
BWRat18,BWRat18_020513,WakeTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(2, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_WAKE,2,2,0,0,True,True,True
BWRat18,BWRat18_020513,SleepTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(2, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",broad_SLEEP_diagnostic,2,2,0,0,True,True,False
BWRat18,BWRat18_020513,SWSPacketTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(17, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_NREM,17,17,0,0,True,True,True
BWRat18,BWRat18_020513,REMTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(13, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_REM,13,13,0,0,True,True,True
BWRat18,BWRat18_020513,MATimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(33, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_MA,33,4,29,0,True,True,False
BWRat18,BWRat18_020513,WakeInterruptionTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(39, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_WakeInterruption,39,17,22,0,True,True,False
BWRat18,BWRat18_020513,REMEpisodeTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(10, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,10,10,0,0,True,True,False
BWRat18,BWRat18_020513,SWSEpisodeTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,uint16,"(14, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,14,14,0,0,True,True,False
BWRat18,BWRat18_020513,WakeSleepTimePairFormat,BWRat18_020513_WSRestrictedIntervals.mat,object,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_pair_diagnostic,4,4,0,0,True,True,False
BWRat18,BWRat18_020513,__SESSION_STRICT_LABEL_RECONSTRUCTION__,BWRat18_020513_WSRestrictedIntervals.mat,,,1-second bins,"target [t-1,t), full-bin coverage only",audit_summary,,,51,0,True,True,"{""counts_match"": true, ""independent_counts"": {""IGNORE"": 810, ""NREM"": 4158, ""REM"": 611, ""WAKE"": 2012}, ""m3_report_counts"": {""IGNORE"": 810, ""NREM"": 4158, ""REM"": 611, ""WAKE"": 2012}}"
BWRat19,BWRat19_032413,WakeTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_WAKE,1,1,0,0,True,True,True
BWRat19,BWRat19_032413,SleepTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",broad_SLEEP_diagnostic,1,1,0,0,True,True,False
BWRat19,BWRat19_032413,SWSPacketTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(19, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_NREM,19,19,0,0,True,True,True
BWRat19,BWRat19_032413,REMTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint8,"(0,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_REM,0,0,0,0,True,True,True
BWRat19,BWRat19_032413,MATimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(57, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_MA,57,23,34,0,True,True,False
BWRat19,BWRat19_032413,WakeInterruptionTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(27, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_WakeInterruption,27,6,21,0,True,True,False
BWRat19,BWRat19_032413,REMEpisodeTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint8,"(0,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,0,0,0,0,True,True,False
BWRat19,BWRat19_032413,SWSEpisodeTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(5, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_diagnostic,5,5,0,0,True,True,False
BWRat19,BWRat19_032413,WakeSleepTimePairFormat,BWRat19_032413_WSRestrictedIntervals.mat,uint16,"(2, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",episode_pair_diagnostic,2,2,0,0,True,True,False
BWRat19,BWRat19_032413,__SESSION_STRICT_LABEL_RECONSTRUCTION__,BWRat19_032413_WSRestrictedIntervals.mat,,,1-second bins,"target [t-1,t), full-bin coverage only",audit_summary,,,55,0,True,True,"{""counts_match"": true, ""independent_counts"": {""IGNORE"": 1440, ""NREM"": 1734, ""REM"": 0, ""WAKE"": 1839}, ""m3_report_counts"": {""IGNORE"": 1440, ""NREM"": 1734, ""REM"": 0, ""WAKE"": 1839}}"
BWRat19,BWRat19_032513,WakeTimePairFormat,BWRat19_032513_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_WAKE,1,1,0,0,True,True,True
BWRat19,BWRat19_032513,SleepTimePairFormat,BWRat19_032513_WSRestrictedIntervals.mat,uint16,"(2,)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",broad_SLEEP_diagnostic,1,1,0,0,True,True,False
BWRat19,BWRat19_032513,SWSPacketTimePairFormat,BWRat19_032513_WSRestrictedIntervals.mat,uint16,"(6, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_NREM,6,6,0,0,True,True,True
BWRat19,BWRat19_032513,REMTimePairFormat,BWRat19_032513_WSRestrictedIntervals.mat,uint16,"(9, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",core_REM,9,9,0,0,True,True,True
BWRat19,BWRat19_032513,MATimePairFormat,BWRat19_032513_WSRestrictedIntervals.mat,uint16,"(40, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_MA,40,11,29,0,True,True,False
BWRat19,BWRat19_032513,WakeInterruptionTimePairFormat,BWRat19_032513_WSRestrictedIntervals.mat,uint16,"(45, 2)",seconds,"half-open [start,stop) in pipeline; official source gives start/stop seconds",auxiliary_WakeInterruption,45,20,25,0,True,True,False
