source_family,field_path,sessions_present,session_ids,dtype_shape_variants,pipeline_use,classification,scientific_semantics,notes
BasicMetaData.mat,bmd.KetamineStartFile,12,BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC,"{""dtype"": ""int64"", ""shape"": []}",condition field; repeated in sessions whose official table is not ketamine,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.KetamineTimeStamp,12,BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC,"{""dtype"": ""float64"", ""shape"": []}",condition field; repeated in sessions whose official table is not ketamine,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.Par,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""struct"", ""keys"": [""Amplification"", ""AnatGrps"", ""Date"", ""ElecGp"", ""FileName"", ""HiPassFreq"", ""Offset"", ""SampleRate"", ""SampleTime"", ""SpkGrps"", ""VoltageRange"", ""lfpSampleRate"", ""multiFileProcessing"", ""nBits"", ""nChannels"", ""nElecGps""], ""shape"": ""scalar""}|{""dtype"": ""struct"", ""keys"": [""Amplification"", ""AnatGrps"", ""Date"", ""ElecGp"", ""FileName"", ""HiPassFreq"", ""Offset"", ""SampleRate"", ""SampleTime"", ""SpkGrps"", ""VoltageRange"", ""lfpSampleRate"", ""nBits"", ""nChannels"", ""nElecGps""], ""shape"": ""scalar""}|{""dtype"": ""struct"", ""keys"": [""Amplification"", ""AnatGrps"", ""Date"", ""ElecGp"", ""FileName"", ""Offset"", ""SampleRate"", ""SampleTime"", ""SpkGrps"", ""VoltageRange"", ""lfpSampleRate"", ""multiFileProcessing"", ""nBits"", ""nChannels"", ""nElecGps""], ""shape"": ""scalar""}|{""dtype"": ""struct"", ""keys"": [""Amplification"", ""AnatGrps"", ""Date"", ""ElecGp"", ""FileName"", ""Offset"", ""SampleRate"", ""SampleTime"", ""SpkGrps"", ""VoltageRange"", ""lfpSampleRate"", ""nBits"", ""nChannels"", ""nElecGps""], ""shape"": ""scalar""}",nested acquisition metadata; selected fields cross-checked against XML,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.RecordingFileIntervals,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""float64"", ""shape"": [2, 2]}|{""dtype"": ""float64"", ""shape"": [2]}|{""dtype"": ""float64"", ""shape"": [3, 2]}|{""dtype"": ""float64"", ""shape"": [4, 2]}|{""dtype"": ""float64"", ""shape"": [5, 2]}|{""dtype"": ""float64"", ""shape"": [6, 2]}|{""dtype"": ""float64"", ""shape"": [8, 2]}",frozen M3 support constraint,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.RecordingStartsAndEnds,1,BWRat21_121813,"{""dtype"": ""float64"", ""shape"": [26, 2]}",one-session raw tick-like segmentation; units not explicitly stored at top level,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.RippleNoiseChannel,1,20140528_565um,"{""dtype"": ""int64"", ""shape"": []}",channel role/provenance present in one session,potentially_useful_provenance,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.Spindlechannel,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",loaded as provenance; not an M4 input role,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.Thetachannel,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",loaded; M4 theta role,used_by_pipeline,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.Thetachannels,1,BWRat21_121813,"{""dtype"": ""int64"", ""shape"": []}",one-session alternate/plural field disagrees with canonical Thetachannel,suspicious_requires_investigation,See official data description or raw field name; raw value preserved.,
BasicMetaData.mat,bmd.UPstatechannel,27,BWRat17_121712|BWRat17_121912|BWRat18_020513|BWRat19_032413|BWRat19_032513|BWRat20_101013|BWRat20_101513|BWRat21_121113|BWRat21_121613|BWRat21_121813|Dino_061814_mPFC|Dino_061914_ACC|Dino_061914_mPFC|Dino_062014_ACC|Dino_062014_mPFC|Dino_072114_mPFC|Dino_072314_mPFC|Dino_072414_mPFC|20140526_277um|20140527_421um|20140528_565um|Bogey_012615|Splinter_020515|Splinter_020915|Rizzo_022615|Rizzo_022715|Templeton_032415,"{""dtype"": ""int64"", ""shape"": []}",loaded as provenance; not an M4 input role,used_by_pipeline,See official data description or raw field name; raw value preserved.,
