animal_id,session_id,eeg_file_size_bytes,bmd_n_channels,xml_n_channels,dtype,bytes_per_sample,endianness,frame_width_bytes,complete_frame_count,remainder_bytes,remainder_lt_frame,lfp_rate_bmd_hz,lfp_rate_xml_hz,acquisition_rate_bmd_hz,acquisition_rate_xml_hz,complete_frame_duration_s,m3_lfp_support_end_s,duration_difference_s,mat_xml_scalar_agreement,mat_xml_anatomical_groups_agreement,mat_xml_spike_groups_agreement,geometry_status
BWRat17,BWRat17_121712,1090692000,72,72,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,144,7574250,0,True,1250.0,1250.0,20000.0,20000.0,6059.4,6059.4,0.0,True,True,True,PASS
BWRat17,BWRat17_121912,1192582750,73,73,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,146,8168375,0,True,1250.0,1250.0,20000.0,20000.0,6534.7,6534.7,0.0,True,True,True,PASS
BWRat18,BWRat18_020513,2561962500,135,135,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,270,9488750,0,True,1250.0,1250.0,20000.0,20000.0,7591.0,7591.0,0.0,True,True,True,PASS
BWRat19,BWRat19_032413,1692022500,135,135,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,270,6266750,0,True,1250.0,1250.0,20000.0,20000.0,5013.4,5013.4,0.0,True,True,True,PASS
BWRat19,BWRat19_032513,1325970000,135,135,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,270,4911000,0,True,1250.0,1250.0,20000.0,20000.0,3928.8,3928.8,0.0,True,True,True,PASS
BWRat20,BWRat20_101013,2405574000,72,72,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,144,16705375,0,True,1250.0,1250.0,20000.0,20000.0,13364.3,13364.3,0.0,True,True,True,PASS
BWRat20,BWRat20_101513,4142160000,72,72,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,144,28765000,0,True,1250.0,1250.0,20000.0,20000.0,23012.0,23012.0,0.0,True,True,True,PASS
BWRat21,BWRat21_121113,3391896000,62,62,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,124,27354000,0,True,1250.0,1250.0,20000.0,20000.0,21883.2,21883.2,0.0,True,True,True,PASS
BWRat21,BWRat21_121613,3339025500,62,62,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,124,26927625,0,True,1250.0,1250.0,20000.0,20000.0,21542.1,21542.1,0.0,True,True,True,PASS
BWRat21,BWRat21_121813,3364399000,62,62,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,124,27132250,0,True,1250.0,1250.0,20000.0,20000.0,21705.8,21705.8,0.0,True,True,True,PASS
Dino,Dino_061814_mPFC,6974401000,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,24557750,0,True,1250.0,1250.0,20000.0,20000.0,19646.2,19646.2,0.0,True,True,True,PASS
Dino,Dino_061914_ACC,6219440250,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,21899437,142,True,1250.0,1250.0,20000.0,20000.0,17519.5496,17519.5496,0.0,True,True,True,WARN_incomplete_tail_verified
Dino,Dino_061914_mPFC,6219440250,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,21899437,142,True,1250.0,1250.0,20000.0,20000.0,17519.5496,17519.5496,0.0,True,True,True,WARN_incomplete_tail_verified
Dino,Dino_062014_ACC,7938936000,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,27954000,0,True,1250.0,1250.0,20000.0,20000.0,22363.2,22363.2,0.0,True,True,True,PASS
Dino,Dino_062014_mPFC,7938936000,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,27954000,0,True,1250.0,1250.0,20000.0,20000.0,22363.2,22363.2,0.0,True,True,True,PASS
Dino,Dino_072114_mPFC,2825338500,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,9948375,0,True,1250.0,1250.0,20000.0,20000.0,7958.7,7958.7,0.0,True,True,True,PASS
Dino,Dino_072314_mPFC,3663990500,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,12901375,0,True,1250.0,1250.0,20000.0,20000.0,10321.1,10321.1,0.0,True,True,True,PASS
Dino,Dino_072414_mPFC,4689124000,142,142,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,284,16511000,0,True,1250.0,1250.0,20000.0,20000.0,13208.8,13208.8,0.0,True,True,True,PASS
JennBuzsaki22,20140526_277um,3257366400,96,96,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,192,16965450,0,True,1250.0,1250.0,1250.0,1250.0,13572.36,13572.36,0.0,True,True,True,PASS
JennBuzsaki22,20140527_421um,4227664320,96,96,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,192,22019085,0,True,1250.0,1250.0,20000.0,20000.0,17615.268,17615.268,0.0,True,True,True,PASS
JennBuzsaki22,20140528_565um,2974976640,96,96,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,192,15494670,0,True,1250.0,1250.0,20000.0,20000.0,12395.736,12395.736,0.0,True,True,True,PASS
Bogey,Bogey_012615,5277289500,87,87,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,174,30329250,0,True,1250.0,1250.0,20000.0,20000.0,24263.4,24263.4,0.0,True,True,True,PASS
Splinter,Splinter_020515,4171422500,70,70,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,140,29795875,0,True,1250.0,1250.0,20000.0,20000.0,23836.7,23836.7,0.0,True,True,True,PASS
Splinter,Splinter_020915,3170812500,54,54,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,108,29359375,0,True,1250.0,1250.0,20000.0,20000.0,23487.5,23487.5,0.0,True,True,True,PASS
Rizzo,Rizzo_022615,6691591500,66,66,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,132,50693875,0,True,1250.0,1250.0,20000.0,20000.0,40555.1,40555.1,0.0,True,True,True,PASS
Rizzo,Rizzo_022715,4278796500,66,66,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,132,32415125,0,True,1250.0,1250.0,20000.0,20000.0,25932.1,25932.1,0.0,True,True,True,PASS
Templeton,Templeton_032415,4621468000,97,97,<i2,2,little-endian in current loader; official MATLAB loader uses native int16 and does not state byte order explicitly,194,23822000,0,True,1250.0,1250.0,20000.0,20000.0,19057.6,19057.6,0.0,True,True,True,PASS
