animal_id,session_id,source_file,stable_unit_count,numgoodcells,unit_order,timestamp_raw_dtypes,timestamp_units,total_spikes,finite,nonnegative,per_unit_sorted_nondecreasing,within_analysis_support_count,outside_analysis_support_count,within_unit_duplicate_timestamp_count,raw_parser_numerically_exact,declared_acquisition_rate_hz,declared_grid_mismatch,observed_event_clock_hz,off_grid_1250_count,off_grid_20000_count,stable_shank_cell_pairs_missing_from_xml_units,cellids_EI_partition_complete,raw_timestamps_rounded_or_requantized
BWRat17,BWRat17_121712,BWRat17_121712_SStable.mat,50,50,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),345203,True,True,True,345203,0,0,True,20000.0,False,20000.0,323549,0,0,True,False
BWRat17,BWRat17_121912,BWRat17_121912_SStable.mat,35,35,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),201202,True,True,True,201202,0,0,True,20000.0,False,20000.0,188680,0,0,True,False
BWRat18,BWRat18_020513,BWRat18_020513_SStable.mat,40,40,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),222046,True,True,True,222046,0,0,True,20000.0,False,20000.0,208404,0,0,True,False
BWRat19,BWRat19_032413,BWRat19_032413_SStable.mat,50,50,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),706661,True,True,True,706661,0,0,True,20000.0,False,20000.0,662632,0,0,True,False
BWRat19,BWRat19_032513,BWRat19_032513_SStable.mat,61,61,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),562797,True,True,True,562797,0,0,True,20000.0,False,20000.0,527683,0,0,True,False
BWRat20,BWRat20_101013,BWRat20_101013_SStable.mat,22,22,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),1045719,True,True,True,1045719,0,0,True,20000.0,False,20000.0,980500,0,0,True,False
BWRat20,BWRat20_101513,BWRat20_101513_SStable.mat,66,66,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),1646519,True,True,True,1646519,0,0,True,20000.0,False,20000.0,1543086,0,10,True,False
BWRat21,BWRat21_121113,BWRat21_121113_SStable.mat,32,32,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),976450,True,True,True,976450,0,0,True,20000.0,False,20000.0,915720,0,0,True,False
BWRat21,BWRat21_121613,BWRat21_121613_SStable.mat,21,21,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),179049,True,True,True,179049,0,0,True,20000.0,False,20000.0,168006,0,4,True,False
BWRat21,BWRat21_121813,BWRat21_121813_SStable.mat,12,12,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),186401,True,True,True,186401,0,0,True,20000.0,False,20000.0,174637,0,3,True,False
Dino,Dino_061814_mPFC,Dino_061814_mPFC_SStable.mat,113,113,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),2732431,True,True,True,2732431,0,0,True,20000.0,False,20000.0,2561894,0,0,True,False
Dino,Dino_061914_ACC,Dino_061914_ACC_SStable.mat,52,52,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),1116078,True,True,True,1116078,0,0,True,20000.0,False,20000.0,1046116,0,0,True,False
Dino,Dino_061914_mPFC,Dino_061914_mPFC_SStable.mat,60,60,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),1774204,True,True,True,1774204,0,0,True,20000.0,False,20000.0,1662691,0,0,True,False
Dino,Dino_062014_ACC,Dino_062014_ACC_SStable.mat,24,24,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),623368,True,True,True,623368,0,0,True,20000.0,False,20000.0,584564,0,0,True,False
Dino,Dino_062014_mPFC,Dino_062014_mPFC_SStable.mat,36,36,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),1867760,True,True,True,1867760,0,0,True,20000.0,False,20000.0,1751019,0,0,True,False
Dino,Dino_072114_mPFC,Dino_072114_mPFC_SStable.mat,18,18,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),209977,True,True,True,209977,0,0,True,20000.0,False,20000.0,196720,0,0,True,False
Dino,Dino_072314_mPFC,Dino_072314_mPFC_SStable.mat,16,16,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),342903,True,True,True,342903,0,0,True,20000.0,False,20000.0,321469,0,0,True,False
Dino,Dino_072414_mPFC,Dino_072414_mPFC_SStable.mat,46,46,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),1324606,True,True,True,1324606,0,0,True,20000.0,False,20000.0,1241982,0,26,True,False
JennBuzsaki22,20140526_277um,20140526_277um_SStable.mat,62,62,MATLAB cell-array Fortran order; preserved locally,float64,seconds (official data description),2214209,True,True,True,2214209,0,0,True,1250.0,True,20000.0,2077020,0,0,True,False
