animal_id,session_id,raw_metadata_recording_intervals,raw_good_sleep_intervals,lfp_support_intervals,resolved_metadata_constraint,resolved_good_sleep_constraint,analysis_support,support_resolution_method,raw_to_parser_exact,parser_to_m3_derived_match,open_ended,zero_duration_rows,spike_endpoint_used,annotation_endpoint_used,additional_interval_like_fields,sleepstart_stop_would_shorten_current_support,additional_field_assessment
BWRat17,BWRat17_121712,"[[0.0, 6059.4]]","[[0.0, 6059.4]]","[[0.0, 6059.4]]","[[0.0, 6059.4]]","[[0.0, 6059.4]]","[[0.0, 6059.4]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat17,BWRat17_121912,"[[0.0, 6534.7]]","[[0.0, 6534.7]]","[[0.0, 6534.7]]","[[0.0, 6534.7]]","[[0.0, 6534.7]]","[[0.0, 6534.7]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat18,BWRat18_020513,"[[0.0, 973.9], [973.9, 9388.8]]","[[0.0, 7591.0]]","[[0.0, 7591.0]]","[[0.0, 7591.0]]","[[0.0, 7591.0]]","[[0.0, 7591.0]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 7591}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat19,BWRat19_032413,"[[0.0, 5013.4]]","[[0.0, 5013.4]]","[[0.0, 5013.4]]","[[0.0, 5013.4]]","[[0.0, 5013.4]]","[[0.0, 5013.4]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 7591}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat19,BWRat19_032513,"[[0.0, 3928.8]]","[[0.0, 3928.8]]","[[0.0, 3928.8]]","[[0.0, 3928.8]]","[[0.0, 3928.8]]","[[0.0, 3928.8]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 7591}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat20,BWRat20_101013,"[[0.0, 6877.2], [6877.2, 13364.3]]","[[0.0, 13364.3]]","[[0.0, 13364.3]]","[[0.0, 13364.3]]","[[0.0, 13364.3]]","[[0.0, 13364.3]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 7591}",True,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat20,BWRat20_101513,"[[0.0, 13257.1], [13257.1, 18197.0], [18197.0, 23347.5]]","[[0.0, 23012.0]]","[[0.0, 23012.0]]","[[0.0, 23012.0]]","[[0.0, 23012.0]]","[[0.0, 23012.0]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat21,BWRat21_121113,"[[0.0, 3847.8], [3847.8, 7312.4], [7312.4, 11267.099999999999], [11267.099999999999, 14519.8], [14519.8, 17837.0], [17837.0, 21883.2]]","[[0.0, 21883.2]]","[[0.0, 21883.2]]","[[0.0, 21883.2]]","[[0.0, 21883.2]]","[[0.0, 21883.2]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat21,BWRat21_121613,"[[0.0, 3954.1], [3954.1, 8125.9], [8125.9, 11322.0], [11322.0, 15042.2], [15042.2, 18395.8], [18395.8, 21542.1]]","[[0.0, 21542.1]]","[[0.0, 21542.1]]","[[0.0, 21542.1]]","[[0.0, 21542.1]]","[[0.0, 21542.1]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
BWRat21,BWRat21_121813,"[[0.0, 3426.2], [3426.2, 9909.9], [9909.9, 14136.4], [14136.4, 18065.2], [18065.2, 21705.8]]","[[0.0, 21705.8]]","[[0.0, 21705.8]]","[[0.0, 21705.8]]","[[0.0, 21705.8]]","[[0.0, 21705.8]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""RecordingStartsAndEnds"": [[0.0, 34262000.0], [34262000.0, 99099000.0], [99099000.0, 141364000.0], [141364000.0, 180652000.0], [180652000.0, 217058000.0], [217058000.0, 256832000.0], [256832000.0, 284072000.0], [284072000.0, 321317000.0], [321317000.0, 339544000.0], [339544000.0, 378196000.0], [378196000.0, 422752000.0], [422752000.0, 461897999.99999994], [461897999.99999994, 510344999.99999994], [510344999.99999994, 532673999.99999994], [532673999.99999994, 587597000.0], [587597000.0, 642813000.0], [642813000.0, 677670000.0], [677670000.0, 726431000.0], [726431000.0, 768687000.0000001], [768687000.0000001, 815698000.0000001], [815698000.0000001, 851603000.0000001], [851603000.0000001, 888207000.0000001], [888207000.0000001, 927676000.0], [927676000.0, 964539000.0000001], [964539000.0000001, 991595000.0000001], [991595000.0000001, 1027289000.0000001]], ""manualGoodSleep"": 1, ""postsleepstartstop"": [15606.0, Infinity], ""presleepstartstop"": [0, 13128], ""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_061814_mPFC,"[[0.0, 13868.4], [13868.4, 19646.2]]","[[0.0, 19646.2]]","[[0.0, 19646.2]]","[[0.0, 19646.2]]","[[0.0, 19646.2]]","[[0.0, 19646.2]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_061914_ACC,"[[0.0, 3508.1], [3508.1, 7807.4], [7807.4, 10149.849999999999], [10149.849999999999, 10149.849999999999], [10149.849999999999, 17519.55]]","[[0.0, 17519.55]]","[[0.0, 17519.5496]]","[[0.0, 17519.5496]]","[[0.0, 17519.5496]]","[[0.0, 17519.5496]]",complete_frame_prefix_with_incomplete_tail,True,True,False,1,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_061914_mPFC,"[[0.0, 3508.1], [3508.1, 7807.4], [7807.4, 10149.849999999999], [10149.849999999999, 10149.849999999999], [10149.849999999999, 17519.55]]","[[0.0, 17519.55]]","[[0.0, 17519.5496]]","[[0.0, 17519.5496]]","[[0.0, 17519.5496]]","[[0.0, 17519.5496]]",complete_frame_prefix_with_incomplete_tail,True,True,False,1,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_062014_ACC,"[[0.0, 6415.9], [6415.9, 11633.0], [11633.0, 18351.7], [18351.7, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_062014_mPFC,"[[0.0, 6415.9], [6415.9, 11633.0], [11633.0, 18351.7], [18351.7, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]","[[0.0, 22363.2]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_072114_mPFC,"[[0.0, 7958.7]]","[[0.0, 7958.7]]","[[0.0, 7958.7]]","[[0.0, 7958.7]]","[[0.0, 7958.7]]","[[0.0, 7958.7]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_072314_mPFC,"[[0.0, 10321.1]]","[[0.0, 10321.1]]","[[0.0, 10321.1]]","[[0.0, 10321.1]]","[[0.0, 10321.1]]","[[0.0, 10321.1]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Dino,Dino_072414_mPFC,"[[0.0, 13208.8]]","[[0.0, 13208.8]]","[[0.0, 13208.8]]","[[0.0, 13208.8]]","[[0.0, 13208.8]]","[[0.0, 13208.8]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,"{""sleepstart"": 0, ""sleepstop"": 23012}",False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
JennBuzsaki22,20140526_277um,"[[0.0, Infinity]]","[[0.0, Infinity]]","[[0.0, 13572.36]]","[[0.0, 13572.36]]","[[0.0, 13572.36]]","[[0.0, 13572.36]]",open_end_clipped_to_verified_lfp_support,True,True,True,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
JennBuzsaki22,20140527_421um,"[[0.0, Infinity]]","[[0.0, Infinity]]","[[0.0, 17615.268]]","[[0.0, 17615.268]]","[[0.0, 17615.268]]","[[0.0, 17615.268]]",open_end_clipped_to_verified_lfp_support,True,True,True,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
JennBuzsaki22,20140528_565um,"[[0.0, Infinity]]","[[0.0, Infinity]]","[[0.0, 12395.736]]","[[0.0, 12395.736]]","[[0.0, 12395.736]]","[[0.0, 12395.736]]",open_end_clipped_to_verified_lfp_support,True,True,True,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Bogey,Bogey_012615,"[[0.0, 8832.9], [8832.9, 13548.9], [13548.9, 17390.4], [17390.4, 21197.5], [21197.5, 24263.4], [24263.4, 24625.300000000003]]","[[0.0, 24625.300000000003]]","[[0.0, 24263.4]]","[[0.0, 24263.4]]","[[0.0, 24263.4]]","[[0.0, 24263.4]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Splinter,Splinter_020515,"[[0.0, 7528.4], [7528.4, 15056.8], [15056.8, 23836.699999999997]]","[[0.0, 23836.699999999997]]","[[0.0, 23836.7]]","[[0.0, 23836.699999999997]]","[[0.0, 23836.699999999997]]","[[0.0, 23836.699999999997]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Splinter,Splinter_020915,"[[0.0, 6421.0], [6421.0, 10385.4], [10385.4, 18646.3], [18646.3, 23487.5]]","[[0.0, 23487.5]]","[[0.0, 23487.5]]","[[0.0, 23487.5]]","[[0.0, 23487.5]]","[[0.0, 23487.5]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Rizzo,Rizzo_022615,"[[0.0, 9843.4], [9843.4, 10546.5], [10546.5, 17807.0], [17807.0, 23948.8], [23948.8, 32463.3], [32463.3, 38936.8], [38936.8, 39087.3], [39087.3, 40555.100000000006]]","[[0.0, 40555.100000000006]]","[[0.0, 40555.1]]","[[0.0, 40555.1]]","[[0.0, 40555.1]]","[[0.0, 40555.1]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Rizzo,Rizzo_022715,"[[0.0, 5953.7], [5953.7, 10148.099999999999], [10148.099999999999, 17492.6], [17492.6, 25931.6], [25931.6, 25932.1]]","[[0.0, 25932.1]]","[[0.0, 25932.1]]","[[0.0, 25932.1]]","[[0.0, 25932.1]]","[[0.0, 25932.1]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
Templeton,Templeton_032415,"[[0.0, 8264.6], [8264.6, 14811.5], [14811.5, 18613.7], [18613.7, 19057.600000000002]]","[[0.0, 19057.600000000002]]","[[0.0, 19057.6]]","[[0.0, 19057.6]]","[[0.0, 19057.6]]","[[0.0, 19057.6]]",finite_constraints_intersected_with_verified_lfp_support,True,True,False,0,False,False,{},False,not used; condition/workspace fields are inconsistent across sessions and are not equivalent to GoodSleepInterval
